Labels,15 wt% in mCP,
Type,Time Scan,
Comment,,
Start,0.00,
Stop,19990.234000,
Step,9.7656250,
Fixed/Offset, ,
XAxis,Time(ns),
YAxis,Counts,

6240.234400,4.80000000E+1,
6250.00,5.10000000E+1,
6259.765600,5.90000000E+1,
6269.531300,4.40000000E+1,
6279.296900,4.90000000E+1,
6289.062500,3.90000000E+1,
6298.828100,5.60000000E+1,
6308.593800,4.80000000E+1,
6318.359400,4.00000000E+1,
6328.125000,5.90000000E+1,
6337.890600,5.00000000E+1,
6347.656300,5.60000000E+1,
6357.421900,3.90000000E+1,
6367.187500,4.60000000E+1,
6376.953100,6.50000000E+1,
6386.718800,5.00000000E+1,
6396.484400,5.10000000E+1,
6406.25000,4.90000000E+1,
6416.015600,6.10000000E+1,
6425.781300,5.00000000E+1,
6435.546900,4.20000000E+1,
6445.312500,4.80000000E+1,
6455.078100,5.00000000E+1,
6464.843800,5.20000000E+1,
6474.609400,4.30000000E+1,
6484.375000,5.40000000E+1,
6494.140600,4.50000000E+1,
6503.906300,4.60000000E+1,
6513.671900,5.60000000E+1,
6523.437500,4.30000000E+1,
6533.203100,4.70000000E+1,
6542.968800,4.00000000E+1,
6552.734400,3.80000000E+1,
6562.5000,5.50000000E+1,
6572.265600,4.20000000E+1,
6582.031300,4.10000000E+1,
6591.796900,4.80000000E+1,
6601.562500,4.80000000E+1,
6611.328100,4.50000000E+1,
6621.093800,4.20000000E+1,
6630.859400,4.40000000E+1,
6640.625000,5.50000000E+1,
6650.390600,2.80000000E+1,
6660.156300,4.20000000E+1,
6669.921900,4.90000000E+1,
6679.687500,4.80000000E+1,
6689.453100,4.30000000E+1,
6699.218800,4.80000000E+1,
6708.984400,2.70000000E+1,
6718.75000,4.50000000E+1,
6728.515600,3.90000000E+1,
6738.281300,3.40000000E+1,
6748.046900,5.40000000E+1,
6757.812500,3.30000000E+1,
6767.578100,4.70000000E+1,
6777.343800,5.70000000E+1,
6787.109400,4.20000000E+1,
6796.875000,3.60000000E+1,
6806.640600,3.90000000E+1,
6816.406300,5.20000000E+1,
6826.171900,4.30000000E+1,
6835.937500,5.10000000E+1,
6845.703100,4.10000000E+1,
6855.468800,3.80000000E+1,
